seizure_id,checkpost_name,district_id,district_name,timestamp,transit_direction,drug_category,quantity_band,verification_status,evidence_confidence
SZ-2026-00001,Puliyarai Checkpost,15,Tenkasi,2025-02-03 12:21:22,TRANSIT_CORRIDOR,CHEMICAL_PRECURSORS,BAND_B_MEDIUM_TRANSIT,DETECTED_SCANNER_ANOMALY,90
SZ-2026-00002,Zuzuvadi Checkpost,10,Krishnagiri,2024-11-01 21:28:19,TRANSIT_CORRIDOR,CHEMICAL_PRECURSORS,BAND_C_PERSONAL_PARCEL,DETECTED_SCANNER_ANOMALY,89
SZ-2026-00003,Kaliyakkavilai Post,14,Kanniyakumari,2025-05-11 17:16:20,OUTBOUND_STATE,COMMERCIAL_GANJA,BAND_C_PERSONAL_PARCEL,VERIFIED_FIELD_SEIZURE,96
SZ-2026-00004,Gummidipoondi Gate,18,Tiruvallur,2025-06-11 04:17:13,OUTBOUND_STATE,OPIOID_ANALOGUES,BAND_A_COMMERCIAL_BULK,INTERSTATE_ALERT_HOLD,89
SZ-2026-00005,Kaliyakkavilai Post,14,Kanniyakumari,2026-04-09 23:30:33,TRANSIT_CORRIDOR,UNKNOWN_CONTRABAND,BAND_B_MEDIUM_TRANSIT,DETECTED_SCANNER_ANOMALY,85
SZ-2026-00006,Walayar Checkpost,2,Coimbatore,2026-07-19 14:26:50,OUTBOUND_STATE,SYNTHETIC_MDMA,BAND_A_COMMERCIAL_BULK,DETECTED_SCANNER_ANOMALY,96
SZ-2026-00007,V.O.C. Port Terminal,13,Thoothukudi,2025-09-17 21:36:58,TRANSIT_CORRIDOR,OPIOID_ANALOGUES,BAND_A_COMMERCIAL_BULK,DETECTED_SCANNER_ANOMALY,96
SZ-2026-00008,Kaliyakkavilai Post,14,Kanniyakumari,2025-02-03 02:05:00,TRANSIT_CORRIDOR,UNKNOWN_CONTRABAND,BAND_C_PERSONAL_PARCEL,VERIFIED_FIELD_SEIZURE,87
SZ-2026-00009,Attibele Border Axis,10,Krishnagiri,2025-11-04 15:33:10,INBOUND_TO_TN,CHEMICAL_PRECURSORS,BAND_B_MEDIUM_TRANSIT,INTERSTATE_ALERT_HOLD,92
SZ-2026-00010,V.O.C. Port Terminal,13,Thoothukudi,2025-03-13 05:26:06,TRANSIT_CORRIDOR,COMMERCIAL_GANJA,BAND_C_PERSONAL_PARCEL,INTERSTATE_ALERT_HOLD,86
